일자,요일,영업매장,총매출,총할인,실매출,가액,부가세,영수건수,영수단가,고객수,객단가,남,여,봉사료,에누리,결제합계,단순현금,현금영수,신용카드,외상,상품권,식권,회원포인트,제휴카드,사원카드,모바일쿠폰,캐시비,일반,점유율(%),포장,점유율(%),배달,점유율(%),일반,서비스,제휴,쿠폰,회원,식권,포장,사후환급액,즉시환급액,환급수수료
2017-07-14,금,1개,"2,101,600 ",0 ,"2,101,600 ","1,910,934 ","190,666 ",294 ,"7,148 ",294 ,"7,148 ",294 ,0 ,0 ,0 ,"2,101,600 ","474,300 ","25,400 ","1,601,900 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,748,100 ",83.18 ,"353,500 ",16.82 ,0 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-15,토,1개,"2,079,900 ",0 ,"2,079,900 ","1,891,243 ","188,657 ",273 ,"7,619 ",273 ,"7,619 ",273 ,0 ,0 ,0 ,"2,079,900 ","441,000 ","25,500 ","1,613,400 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,583,500 ",76.13 ,"496,400 ",23.87 ,0 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-16,일,1개,"2,473,900 ",0 ,"2,473,900 ","2,249,532 ","224,368 ",331 ,"7,474 ",331 ,"7,474 ",331 ,0 ,0 ,0 ,"2,473,900 ","472,000 ","26,800 ","1,975,100 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,992,900 ",80.56 ,"481,000 ",19.44 ,0 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-17,월,1개,"2,196,000 ","97,000 ","2,099,000 ","1,908,621 ","190,379 ",303 ,"6,927 ",303 ,"6,927 ",303 ,0 ,0 ,0 ,"2,099,000 ","549,600 ","11,400 ","1,538,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,831,300 ",87.25 ,"267,700 ",12.75 ,0 ,0.00 ,0 ,"97,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-18,화,1개,"2,067,500 ","74,200 ","1,993,300 ","1,812,524 ","180,776 ",297 ,"6,711 ",297 ,"6,711 ",297 ,0 ,0 ,0 ,"1,993,300 ","530,000 ","12,900 ","1,450,400 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,649,800 ",82.77 ,"343,500 ",17.23 ,0 ,0.00 ,0 ,"74,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-19,수,1개,"2,230,100 ","163,800 ","2,066,300 ","1,878,885 ","187,415 ",301 ,"6,865 ",301 ,"6,865 ",301 ,0 ,0 ,0 ,"2,066,300 ","520,200 ","17,400 ","1,528,700 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,732,500 ",83.85 ,"333,800 ",16.15 ,0 ,0.00 ,0 ,"163,800 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-20,목,1개,"2,089,400 ","30,100 ","2,059,300 ","1,872,522 ","186,778 ",294 ,"7,004 ",294 ,"7,004 ",294 ,0 ,0 ,0 ,"2,059,300 ","505,100 ","8,900 ","1,545,300 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,720,600 ",83.55 ,"338,700 ",16.45 ,0 ,0.00 ,0 ,"30,100 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-21,금,1개,"2,225,900 ","46,700 ","2,179,200 ","1,981,533 ","197,667 ",291 ,"7,489 ",291 ,"7,489 ",291 ,0 ,0 ,0 ,"2,179,200 ","548,400 ","18,600 ","1,612,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,844,200 ",84.63 ,"335,000 ",15.37 ,0 ,0.00 ,0 ,"46,700 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-22,토,1개,"2,315,000 ","45,900 ","2,269,100 ","2,063,289 ","205,811 ",303 ,"7,489 ",303 ,"7,489 ",303 ,0 ,0 ,0 ,"2,269,100 ","668,900 ","11,500 ","1,588,700 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,869,500 ",82.39 ,"399,600 ",17.61 ,0 ,0.00 ,0 ,"45,900 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-23,일,1개,"2,224,300 ","51,800 ","2,172,500 ","1,975,475 ","197,025 ",285 ,"7,623 ",285 ,"7,623 ",285 ,0 ,0 ,0 ,"2,172,500 ","498,900 ",0 ,"1,673,600 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,765,700 ",81.28 ,"406,800 ",18.72 ,0 ,0.00 ,0 ,"51,800 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-24,월,1개,"2,024,200 ","30,100 ","1,994,100 ","1,813,195 ","180,905 ",299 ,"6,669 ",299 ,"6,669 ",299 ,0 ,0 ,0 ,"1,994,100 ","433,500 ","9,500 ","1,551,100 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,649,600 ",82.72 ,"344,500 ",17.28 ,0 ,0.00 ,0 ,"30,100 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-25,화,1개,"2,388,800 ","69,500 ","2,319,300 ","2,108,949 ","210,351 ",332 ,"6,986 ",332 ,"6,986 ",332 ,0 ,0 ,0 ,"2,319,300 ","652,300 ","13,400 ","1,653,600 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,965,500 ",84.75 ,"353,800 ",15.25 ,0 ,0.00 ,0 ,"69,500 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-26,수,1개,"2,181,400 ","61,500 ","2,119,900 ","1,927,664 ","192,236 ",321 ,"6,604 ",321 ,"6,604 ",321 ,0 ,0 ,0 ,"2,119,900 ","510,400 ","17,100 ","1,592,400 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,823,400 ",86.01 ,"296,500 ",13.99 ,0 ,0.00 ,0 ,"61,500 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-27,목,1개,"2,144,700 ","32,300 ","2,112,400 ","1,920,814 ","191,586 ",298 ,"7,089 ",298 ,"7,089 ",298 ,0 ,0 ,0 ,"2,112,400 ","505,200 ","14,700 ","1,592,500 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,724,600 ",81.64 ,"387,800 ",18.36 ,0 ,0.00 ,0 ,"32,300 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-28,금,1개,"2,001,300 ","55,300 ","1,946,000 ","1,769,493 ","176,507 ",283 ,"6,876 ",283 ,"6,876 ",283 ,0 ,0 ,0 ,"1,946,000 ","456,800 ","19,500 ","1,469,700 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,554,000 ",79.86 ,"392,000 ",20.14 ,0 ,0.00 ,0 ,"55,300 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-29,토,1개,"2,600,000 ","99,900 ","2,500,100 ","2,273,324 ","226,776 ",339 ,"7,375 ",339 ,"7,375 ",339 ,0 ,0 ,0 ,"2,500,100 ","586,400 ","39,100 ","1,874,600 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,041,100 ",81.64 ,"459,000 ",18.36 ,0 ,0.00 ,0 ,"99,900 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-30,일,1개,"2,481,600 ","101,000 ","2,380,600 ","2,164,675 ","215,925 ",317 ,"7,510 ",317 ,"7,510 ",317 ,0 ,0 ,0 ,"2,380,600 ","581,100 ","65,800 ","1,733,700 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,984,700 ",83.37 ,"395,900 ",16.63 ,0 ,0.00 ,0 ,"101,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-31,월,1개,"2,161,700 ","49,200 ","2,112,500 ","1,920,919 ","191,581 ",307 ,"6,881 ",307 ,"6,881 ",307 ,0 ,0 ,0 ,"2,112,500 ","540,200 ","44,900 ","1,527,400 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,685,900 ",79.81 ,"426,600 ",20.19 ,0 ,0.00 ,0 ,"49,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-01,화,1개,"2,221,200 ","66,800 ","2,154,400 ","1,959,001 ","195,399 ",321 ,"6,712 ",321 ,"6,712 ",321 ,0 ,0 ,0 ,"2,154,400 ","587,300 ","12,300 ","1,554,800 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,707,200 ",79.24 ,"447,200 ",20.76 ,0 ,0.00 ,0 ,"66,800 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-02,수,1개,"2,222,700 ","45,800 ","2,176,900 ","1,979,461 ","197,439 ",309 ,"7,045 ",309 ,"7,045 ",309 ,0 ,0 ,0 ,"2,176,900 ","636,000 ",0 ,"1,540,900 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,744,100 ",80.12 ,"432,800 ",19.88 ,0 ,0.00 ,0 ,"45,800 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-03,목,1개,"2,293,100 ","31,500 ","2,261,600 ","2,056,490 ","205,110 ",335 ,"6,751 ",335 ,"6,751 ",335 ,0 ,0 ,0 ,"2,261,600 ","517,200 ","22,600 ","1,721,800 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,866,900 ",82.55 ,"394,700 ",17.45 ,0 ,0.00 ,0 ,"31,500 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-04,금,1개,"2,435,300 ","67,000 ","2,368,300 ","2,153,511 ","214,789 ",317 ,"7,471 ",317 ,"7,471 ",317 ,0 ,0 ,0 ,"2,368,300 ","515,800 ","32,100 ","1,820,400 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,925,500 ",81.30 ,"442,800 ",18.70 ,0 ,0.00 ,0 ,"67,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-05,토,1개,"2,502,900 ","61,900 ","2,441,000 ","2,219,565 ","221,435 ",312 ,"7,824 ",312 ,"7,824 ",312 ,0 ,0 ,0 ,"2,441,000 ","583,700 ","29,200 ","1,828,100 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,000,800 ",81.97 ,"440,200 ",18.03 ,0 ,0.00 ,0 ,"61,900 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-06,일,1개,"2,573,300 ","34,900 ","2,538,400 ","2,308,150 ","230,250 ",342 ,"7,422 ",342 ,"7,422 ",342 ,0 ,0 ,0 ,"2,538,400 ","649,800 ","12,300 ","1,876,300 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,232,300 ",87.94 ,"306,100 ",12.06 ,0 ,0.00 ,0 ,"34,900 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-07,월,1개,"2,052,000 ","31,500 ","2,020,500 ","1,837,296 ","183,204 ",303 ,"6,668 ",303 ,"6,668 ",303 ,0 ,0 ,0 ,"2,020,500 ","418,300 ","13,600 ","1,588,600 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,639,000 ",81.12 ,"381,500 ",18.88 ,0 ,0.00 ,0 ,"31,500 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-08,화,1개,"2,710,900 ","106,700 ","2,604,200 ","2,367,949 ","236,251 ",370 ,"7,038 ",370 ,"7,038 ",370 ,0 ,0 ,0 ,"2,604,200 ","721,400 ","16,500 ","1,866,300 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,074,700 ",79.67 ,"529,500 ",20.33 ,0 ,0.00 ,0 ,"106,700 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-09,수,1개,"2,360,200 ","29,000 ","2,331,200 ","2,119,777 ","211,423 ",334 ,"6,980 ",334 ,"6,980 ",334 ,0 ,0 ,0 ,"2,331,200 ","552,400 ",0 ,"1,778,800 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,930,800 ",82.82 ,"400,400 ",17.18 ,0 ,0.00 ,0 ,"29,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-10,목,1개,"2,208,100 ","91,700 ","2,116,400 ","1,924,441 ","191,959 ",288 ,"7,349 ",288 ,"7,349 ",288 ,0 ,0 ,0 ,"2,116,400 ","494,100 ",0 ,"1,622,300 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,756,800 ",83.01 ,"359,600 ",16.99 ,0 ,0.00 ,0 ,"91,700 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-11,금,1개,"2,156,100 ","37,400 ","2,118,700 ","1,926,509 ","192,191 ",303 ,"6,992 ",303 ,"6,992 ",303 ,0 ,0 ,0 ,"2,118,700 ","522,200 ","40,100 ","1,556,400 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,704,100 ",80.43 ,"414,600 ",19.57 ,0 ,0.00 ,0 ,"37,400 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-12,토,1개,"2,968,700 ","33,800 ","2,934,900 ","2,668,705 ","266,195 ",396 ,"7,411 ",396 ,"7,411 ",396 ,0 ,0 ,0 ,"2,934,900 ","650,600 ","47,000 ","2,237,300 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,375,100 ",80.93 ,"559,800 ",19.07 ,0 ,0.00 ,0 ,"33,800 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-13,일,1개,"2,931,000 ","199,400 ","2,731,600 ","2,483,839 ","247,761 ",366 ,"7,463 ",366 ,"7,463 ",366 ,0 ,0 ,0 ,"2,731,600 ","695,500 ","69,600 ","1,966,500 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,243,300 ",82.12 ,"488,300 ",17.88 ,0 ,0.00 ,0 ,"199,400 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-14,월,1개,"2,258,600 ","104,200 ","2,154,400 ","1,958,944 ","195,456 ",311 ,"6,927 ",311 ,"6,927 ",311 ,0 ,0 ,0 ,"2,154,400 ","562,400 ","15,000 ","1,577,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,702,700 ",79.03 ,"451,700 ",20.97 ,0 ,0.00 ,0 ,"104,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-15,화,1개,"2,175,200 ","110,000 ","2,065,200 ","1,877,836 ","187,364 ",274 ,"7,537 ",274 ,"7,537 ",274 ,0 ,0 ,0 ,"2,065,200 ","473,200 ",0 ,"1,592,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,747,300 ",84.61 ,"317,900 ",15.39 ,0 ,0.00 ,0 ,"110,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-16,수,1개,"2,546,800 ","43,900 ","2,502,900 ","2,275,886 ","227,014 ",360 ,"6,953 ",360 ,"6,953 ",360 ,0 ,0 ,0 ,"2,502,900 ","585,200 ",0 ,"1,917,700 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,965,800 ",78.54 ,"537,100 ",21.46 ,0 ,0.00 ,0 ,"43,900 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-17,목,1개,"2,597,500 ","45,900 ","2,551,600 ","2,320,171 ","231,429 ",354 ,"7,208 ",354 ,"7,208 ",354 ,0 ,0 ,0 ,"2,551,600 ","561,200 ","25,900 ","1,964,500 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,958,900 ",76.77 ,"592,700 ",23.23 ,0 ,0.00 ,0 ,"45,900 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-18,금,1개,"2,560,300 ","79,100 ","2,481,200 ","2,256,116 ","225,084 ",348 ,"7,130 ",348 ,"7,130 ",348 ,0 ,0 ,0 ,"2,481,200 ","467,200 ","29,500 ","1,984,500 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,969,800 ",79.39 ,"511,400 ",20.61 ,0 ,0.00 ,0 ,"79,100 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-19,토,1개,"2,775,200 ","76,900 ","2,698,300 ","2,453,507 ","244,793 ",347 ,"7,776 ",347 ,"7,776 ",347 ,0 ,0 ,0 ,"2,698,300 ","897,200 ","4,900 ","1,796,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,125,100 ",78.76 ,"573,200 ",21.24 ,0 ,0.00 ,0 ,"76,900 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-20,일,1개,"2,741,800 ","185,000 ","2,556,800 ","2,324,843 ","231,957 ",342 ,"7,476 ",342 ,"7,476 ",342 ,0 ,0 ,0 ,"2,556,800 ","571,000 ","14,100 ","1,971,700 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,040,800 ",79.82 ,"516,000 ",20.18 ,0 ,0.00 ,0 ,"185,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-21,월,1개,"2,223,400 ","92,500 ","2,130,900 ","1,937,619 ","193,281 ",301 ,"7,079 ",301 ,"7,079 ",301 ,0 ,0 ,0 ,"2,130,900 ","518,800 ","10,900 ","1,601,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,817,300 ",85.28 ,"313,600 ",14.72 ,0 ,0.00 ,0 ,"92,500 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-08-22,화,1개,"2,385,000 ","18,700 ","2,366,300 ","2,151,665 ","214,635 ",335 ,"7,064 ",335 ,"7,064 ",335 ,0 ,0 ,0 ,"2,366,300 ","618,700 ","13,000 ","1,734,600 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,979,200 ",83.64 ,"387,100 ",16.36 ,0 ,0.00 ,0 ,"18,700 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
