date,총매출,총할인,영수건수,서비스
127,"2,224,300 ","61,500 ",326,"61,500 "
128,"2,167,500 ","15,200 ",324,"15,200 "
129,"1,961,900 ","30,300 ",294,"30,300 "
130,"2,377,400 ","30,100 ",319,"30,100 "
131,"2,653,600 ","30,000 ",354,0 
132,"2,705,300 ","17,300 ",336,"17,300 "
133,"1,828,100 ","15,400 ",266,"15,400 "
134,"2,443,400 ","83,900 ",357,"83,900 "
135,"2,205,300 ","85,200 ",308,"85,200 "
136,"2,128,700 ","30,600 ",300,"30,600 "
137,"2,153,300 ",0 ,307,0 
138,"2,425,400 ","46,600 ",324,"46,600 "
139,"2,283,300 ",0 ,308,0 
140,"1,923,200 ",0 ,292,0 
141,"2,137,400 ","53,800 ",301,"53,800 "
142,"2,256,200 ","15,200 ",323,"15,200 "
143,"2,038,600 ","15,600 ",299,"15,600 "
144,"2,258,100 ",0 ,307,0 
145,"2,240,500 ","28,500 ",307,"28,500 "
146,"2,561,100 ","15,600 ",329,"15,600 "
147,"1,974,700 ",0 ,302,0 
148,"2,234,100 ","30,300 ",317,"30,300 "
149,"2,141,800 ",0 ,308,0 
150,"1,992,900 ","35,300 ",271,"35,300 "
151,"2,166,400 ","37,800 ",284,"37,800 "
152,"2,345,700 ","50,700 ",302,"50,700 "
153,"2,301,200 ",0 ,291,0 
154,"1,719,500 ","31,000 ",251,"31,000 "
155,"2,005,800 ","15,100 ",291,"15,100 "
156,"2,209,500 ",0 ,303,0 
157,"2,118,400 ",0 ,323,0 
158,"2,133,400 ",0 ,298,0 
159,"2,800,900 ","31,400 ",348,"31,400 "
160,"2,319,300 ",0 ,302,0 
161,"1,891,100 ",0 ,270,0 
162,"2,340,000 ",0 ,340,0 
163,"2,333,300 ","31,000 ",336,"31,000 "
164,"2,111,200 ",0 ,289,0 
165,"2,216,800 ",0 ,317,0 
166,"2,291,500 ","15,800 ",314,"15,800 "
167,"2,272,000 ",0 ,320,0 
168,"2,187,300 ",0 ,314,0 
169,"2,252,100 ",0 ,325,0 
170,"2,160,800 ","15,100 ",304,"15,100 "
171,"1,918,700 ",700 ,289,700 
172,"2,164,700 ","38,000 ",302,"38,000 "
173,"2,867,000 ",0 ,345,0 
174,"2,423,000 ",0 ,295,0 
175,"2,719,700 ",0 ,330,0 
176,"2,122,200 ","23,400 ",305,"23,400 "
177,"1,870,100 ",0 ,267,0 
178,"1,966,200 ","15,100 ",270,"15,100 "
179,"2,102,200 ","15,800 ",296,"15,800 "
180,"2,261,300 ","31,200 ",279,"31,200 "
181,"2,549,100 ","15,500 ",318,"15,500 "
